priority,poi_id,name,location,category,latitude,longitude,fields_to_check,source_url
2,osm:way:1228356968,Nhà thờ Giáo xứ Sơn Trà,Đà Nẵng,temple,16.10101645,108.24856295705898,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1228356968
2,osm:way:1228356978,GIÁO XÚ NHƯỢNG NGHĨA,Đà Nẵng,temple,16.0852352,108.22925859377669,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1228356978
2,osm:way:1243468922,Nhà thờ Tin Lành An Hải,Đà Nẵng,temple,16.063092,108.23576691201265,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1243468922
2,osm:way:1246229021,nghĩa trang liệt sĩ tổ quốc ghi công,Đà Nẵng,historic,15.884640749999999,108.34071225452433,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1246229021
2,osm:way:1247489930,Chúa Bà Đa,Đà Nẵng,temple,16.03768795,108.24057554999999,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1247489930
2,osm:way:1252368755,Công viên cầu Bờ Quan,Đà Nẵng,park,16.0117056,108.246209538407,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1252368755
2,osm:way:1252486503,Công viên Bờ Quan,Đà Nẵng,park,16.0147343,108.23872138791631,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1252486503
2,osm:way:1279556276,Chùa Mỹ Khê,Đà Nẵng,temple,16.0652013,108.24296795650193,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1279556276
2,osm:way:1326441936,Chùa Phổ Đà,Đà Nẵng,temple,16.0559193,108.21822855338715,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1326441936
2,osm:way:1326445079,Chùa Từ Tôn,Đà Nẵng,temple,16.060372049999998,108.21842770925895,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1326445079
2,osm:way:1329689890,Chùa Báo Ân,Đà Nẵng,temple,16.0530659,108.20949589729199,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1329689890
2,osm:way:1330726238,Bãi biển Bắc,Đà Nẵng,beach,16.1239466,108.30909294899939,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1330726238
2,osm:way:1331565206,Đài Tưởng niệm Liệt sỹ thành phố Đà Nẵng,Đà Nẵng,historic,16.04096895,108.22432280791489,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1331565206
2,osm:way:1336812874,Chùa Quang Minh,Đà Nẵng,temple,16.05988385,108.16437528942761,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1336812874
2,osm:way:1374632791,Nhà thờ Giáo xứ Cồn Dầu,Đà Nẵng,temple,16.015139050000002,108.2253443985843,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1374632791
2,osm:way:1375028004,Chùa An Long,Đà Nẵng,temple,16.05969195,108.22328706534503,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1375028004
2,osm:way:1378265221,Chùa Kỳ Viên,Đà Nẵng,temple,16.05644435,108.21120083817681,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1378265221
2,osm:way:1384907056,Công viên Nam Dương,Đà Nẵng,park,16.0605084,108.21772436286662,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1384907056
2,osm:way:1384911812,Công viên Như Nguyệt,Đà Nẵng,park,16.09072285,108.21976349656924,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1384911812
2,osm:way:1386932720,Tượng Phật Quan Âm - Chùa Mỹ Khê,Đà Nẵng,temple,16.0643605,108.24296714422208,verified_entrance|independent_source_review|factual_description,https://www.openstreetmap.org/way/1386932720
2,osm:way:14131302,Hoi An Memories Land,Đà Nẵng,theme_park,15.875062799999998,108.33998068724893,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/14131302
2,osm:way:1422444084,Chùa Thuận Thành,Đà Nẵng,temple,16.07439565,108.20859771532461,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1422444084
2,osm:way:1474183572,Nhà thờ Lê Tộc - Tân Thái,Đà Nẵng,temple,16.08949835,108.24732667000627,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1474183572
2,osm:way:1474183573,Chùa Tân Thái,Đà Nẵng,temple,16.08972835,108.24693942821892,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1474183573
2,osm:way:1474308642,Vong Hai Dai,Đà Nẵng,temple,16.0037003,108.26424075,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1474308642
2,osm:way:1481285653,Miếu Thành Hoàng Bổn Xứ,Đà Nẵng,temple,16.0157229,108.24950392034211,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1481285653
2,osm:way:1481663044,Bản sao nhà sàn,Đà Nẵng,historic,16.04723635,108.21742904999999,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1481663044
2,osm:way:1484919510,Xanh Design DN Tiệm Cây và Nước,Đà Nẵng,zoo,16.02016365,108.236873,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1484919510
2,osm:way:1547483080,Đình làng Phước Ninh,Đà Nẵng,temple,16.06037645,108.21790442906125,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1547483080
2,osm:way:1547483081,Đình Túy Loan,Đà Nẵng,temple,15.997568099999999,108.13645072520438,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/1547483081
2,osm:way:198804483,Thánh địa Mỹ Sơn,Đà Nẵng,attraction,15.76552015,108.12345311287017,verified_entrance|independent_source_review|factual_description,https://www.openstreetmap.org/way/198804483
2,osm:way:204790989,Chợ Cồn,Đà Nẵng,attraction,16.06812745,108.21452127507146,verified_entrance|opening_hours|independent_source_review|factual_description,https://www.openstreetmap.org/way/204790989
