poi_id,name,location,category,latitude,longitude,hours_raw,hours_status,data_status,source_url
osm:way:89748554,Công viên Hùng Vương,Cần Thơ,park,10.044629,105.78036000140159,,unknown,usable,https://www.openstreetmap.org/way/89748554
osm:way:897888816,Đình Tân Lạc,Hồ Chí Minh,temple,10.66875465,106.63944520000001,,unknown,usable,https://www.openstreetmap.org/way/897888816
osm:way:897942012,Đình Bình Thái,Hồ Chí Minh,temple,10.8129064,106.77622978917785,,unknown,usable,https://www.openstreetmap.org/way/897942012
osm:way:898029671,Đình Phước Cơ,Hồ Chí Minh,temple,10.6557476,106.67395370005747,,unknown,usable,https://www.openstreetmap.org/way/898029671
osm:way:898280534,Đình thần Bình Xuân,Hồ Chí Minh,temple,10.9121743,106.68471438426329,,unknown,usable,https://www.openstreetmap.org/way/898280534
osm:way:898412304,Đình thần Mỹ Thạnh,Hồ Chí Minh,temple,11.1276206,106.61157260730042,,unknown,usable,https://www.openstreetmap.org/way/898412304
osm:way:899712058,Đình Thái Bình,Hồ Chí Minh,temple,10.7259593,106.68754918555065,,unknown,usable,https://www.openstreetmap.org/way/899712058
osm:way:899723249,Green Garden,Hà Nội,park,21.026999449999998,105.89915787657193,,unknown,usable,https://www.openstreetmap.org/way/899723249
osm:way:899754205,Đình Bình Lộc,Hồ Chí Minh,temple,10.715923,106.6567937945739,,unknown,usable,https://www.openstreetmap.org/way/899754205
osm:way:900590738,Đình Hiệp Phước,Hồ Chí Minh,temple,10.63480225,106.733691,,unknown,usable,https://www.openstreetmap.org/way/900590738
osm:way:900590739,Đình thần Vĩnh Phước,Đồng Tháp,temple,10.2957057,105.76619365967397,,unknown,usable,https://www.openstreetmap.org/way/900590739
osm:way:900599303,Đình Phước Lộc,Hồ Chí Minh,temple,10.70125335,106.6845771,,unknown,usable,https://www.openstreetmap.org/way/900599303
osm:way:900599304,Đình Bình Đức,Tây Ninh,temple,10.64960035,106.6893857,,unknown,usable,https://www.openstreetmap.org/way/900599304
osm:way:90071490,Bảo tàng Hồ Chí Minh,Cần Thơ,museum,10.0357883,105.7858184120853,,unknown,usable,https://www.openstreetmap.org/way/90071490
osm:way:90080529,Công viên Đồ Chiểu,Cần Thơ,park,10.0373967,105.78742028184146,,unknown,usable,https://www.openstreetmap.org/way/90080529
osm:way:90080614,Công viên Tao Đàn,Cần Thơ,park,10.03563795,105.7870005168113,,unknown,usable,https://www.openstreetmap.org/way/90080614
osm:way:901651364,Nhà thờ Vinh Sơn,Hồ Chí Minh,temple,10.495352950000001,107.18412860000001,,unknown,usable,https://www.openstreetmap.org/way/901651364
osm:way:902155098,Đình Thuỵ Hương,Hà Nội,temple,20.908866850000003,105.71387187313209,,unknown,usable,https://www.openstreetmap.org/way/902155098
osm:way:902966818,Bảo tàng Quân đội tỉnh Quảng Nam,Đà Nẵng,museum,15.57169635,108.4681997917461,,unknown,usable,https://www.openstreetmap.org/way/902966818
osm:way:903067718,2005 Phú Lộc derailment memorial,Huế,historic,16.21847755,108.0566904116892,,unknown,usable,https://www.openstreetmap.org/way/903067718
osm:way:903827683,Chùa Thanh Lương,Đắk Lắk,temple,13.181694499999999,109.29577085121471,,unknown,usable,https://www.openstreetmap.org/way/903827683
osm:way:904321296,"Chùa Phú Lộc, Pagoda",Huế,temple,16.6737825,107.36626066013011,,unknown,usable,https://www.openstreetmap.org/way/904321296
osm:way:904885050,Chua Linh Phuoc,Đắk Lắk,temple,13.16610065,109.1310190818036,,unknown,usable,https://www.openstreetmap.org/way/904885050
osm:way:904885509,Chua Linh Phuoc (new building 2021),Đắk Lắk,temple,13.16630885,109.13078477118518,,unknown,usable,https://www.openstreetmap.org/way/904885509
osm:way:905779140,Đình thần Bình Triệu,Hồ Chí Minh,temple,10.83466435,106.70929945,,unknown,usable,https://www.openstreetmap.org/way/905779140
osm:way:906434459,Giáo xứ Bình Lợi,Hồ Chí Minh,temple,10.8268901,106.70660299696462,,unknown,usable,https://www.openstreetmap.org/way/906434459
osm:way:906984455,DINH BÀ THỦY LONG THÁNH MÂU,,temple,10.17955315,104.048189750271,,unknown,needs_review,https://www.openstreetmap.org/way/906984455
osm:way:907280822,Nhà thờ Huyện Sỹ,Hồ Chí Minh,temple,10.768614,106.688957,,unknown,usable,https://www.openstreetmap.org/way/907280822
osm:way:907285040,Nhà Thờ Thánh Martino,Hồ Chí Minh,temple,10.796088300000001,106.70970940000001,,unknown,usable,https://www.openstreetmap.org/way/907285040
osm:way:907748756,Đình Long Hòa,Đồng Tháp,temple,10.396613949999999,106.36947330000001,,unknown,usable,https://www.openstreetmap.org/way/907748756
osm:way:907748757,Đình An Đức Đông,Đồng Tháp,temple,10.36305785,106.32860375866369,,unknown,usable,https://www.openstreetmap.org/way/907748757
osm:way:907748758,Đình Thạnh Trị,Đồng Tháp,temple,10.366265649999999,106.3639763,,unknown,usable,https://www.openstreetmap.org/way/907748758
osm:way:907748759,Đình Vĩnh Phong,Tây Ninh,temple,10.60373345,106.40335644999999,,unknown,usable,https://www.openstreetmap.org/way/907748759
osm:way:907748760,Đình Tân Xuân,Tây Ninh,temple,10.44753335,106.46633408884227,,unknown,usable,https://www.openstreetmap.org/way/907748760
osm:way:907748761,Đình thần An Sơn,Hồ Chí Minh,temple,10.9272513,106.65734135388925,,unknown,usable,https://www.openstreetmap.org/way/907748761
osm:way:907748762,Đình thần Hưng Định,Hồ Chí Minh,temple,10.94359685,106.70429424019281,,unknown,usable,https://www.openstreetmap.org/way/907748762
osm:way:907748763,Đình thần Thuận Giao,Hồ Chí Minh,temple,10.969472249999999,106.71480485000001,,unknown,usable,https://www.openstreetmap.org/way/907748763
osm:way:907748764,Đình Mỹ Phong,Đồng Tháp,temple,10.36536495,106.37931520000001,,unknown,usable,https://www.openstreetmap.org/way/907748764
osm:way:907748775,Đình Long Thanh,Vĩnh Long,temple,10.23832315,105.98989851012968,,unknown,usable,https://www.openstreetmap.org/way/907748775
osm:way:907748776,Đình Tân Ngãi,Vĩnh Long,temple,10.26579355,105.93231772820361,,unknown,usable,https://www.openstreetmap.org/way/907748776
osm:way:907748777,Đình Long Hồ,Vĩnh Long,temple,10.23187515,105.9920066,,unknown,usable,https://www.openstreetmap.org/way/907748777
osm:way:907748778,Đình Tân Hoa,Vĩnh Long,temple,10.26927225,105.90771845,,unknown,usable,https://www.openstreetmap.org/way/907748778
osm:way:907748779,Đình An Tịnh,Tây Ninh,temple,11.009847449999999,106.36111582851939,,unknown,usable,https://www.openstreetmap.org/way/907748779
osm:way:907748780,Đình Gia Lộc,Tây Ninh,temple,11.02953695,106.36641495,,unknown,usable,https://www.openstreetmap.org/way/907748780
osm:way:907748783,Đình Bình Phong,Đồng Tháp,temple,10.37128065,106.4027268527797,,unknown,usable,https://www.openstreetmap.org/way/907748783
osm:way:907748784,Đình Bình Hài,Đồng Tháp,temple,10.373497350000001,106.40272784999999,,unknown,usable,https://www.openstreetmap.org/way/907748784
osm:way:907748785,Đình Mỹ Chánh,Đồng Tháp,temple,10.35704835,106.37612755,,unknown,usable,https://www.openstreetmap.org/way/907748785
osm:way:907748786,Đình Đạo Ngạn,Đồng Tháp,temple,10.37170285,106.35030526529948,,unknown,usable,https://www.openstreetmap.org/way/907748786
osm:way:907748787,Đình Thới Sơn,Đồng Tháp,temple,10.333170599999999,106.31540154298929,,unknown,usable,https://www.openstreetmap.org/way/907748787
