interval_id,poi_id,day_of_week,specific_date,status,open_minute,close_minute,closes_next_day,observation_id
hours:f85a02f838447c33230e29c4,osm:node:1152350875,5,,open,435,690,0,obs:d3901cb2d283ff997a8f0ccf
hours:15a87bdcd66a58d4129ad6eb,osm:node:1152350875,5,,open,810,1020,0,obs:d3901cb2d283ff997a8f0ccf
hours:2d2f84b629179e60c42db83e,osm:node:1152350875,6,,open,435,690,0,obs:d3901cb2d283ff997a8f0ccf
hours:e694dda59a03386e5f5f4625,osm:node:1152350875,6,,open,810,1020,0,obs:d3901cb2d283ff997a8f0ccf
hours:553a644af7a1ca79f31fb245,osm:node:11536736969,0,,open,450,1020,0,obs:ccba768170bb60d713c6b47f
hours:1feecaaec88e530c21d83ef0,osm:node:11536736969,1,,open,450,1020,0,obs:ccba768170bb60d713c6b47f
hours:5058fb421f92615775533a23,osm:node:11536736969,2,,open,450,1020,0,obs:ccba768170bb60d713c6b47f
hours:d66b75132a4b91b4bf9a6440,osm:node:11536736969,3,,open,450,1020,0,obs:ccba768170bb60d713c6b47f
hours:a6e89a37cf2d1647039a83d8,osm:node:11536736969,4,,open,450,1020,0,obs:ccba768170bb60d713c6b47f
hours:ea791032f0744726d77bfb53,osm:node:11536736969,5,,open,450,1020,0,obs:ccba768170bb60d713c6b47f
hours:99d0958b3d2d89b26fc95a0b,osm:node:11536736969,6,,open,450,1020,0,obs:ccba768170bb60d713c6b47f
hours:c906ebdf872b619c078c3f5c,osm:node:11601268350,6,,open,780,1110,0,obs:63040aaa898f5938a9274c23
hours:e3ed9a4950b4b81d5229d748,osm:node:11871599148,0,,open,480,1260,0,obs:7312253feb0f2fce48cdb3e2
hours:1fd6b3b003db88bfeae9b68a,osm:node:11871599148,1,,open,480,1260,0,obs:7312253feb0f2fce48cdb3e2
hours:fd0b2971251a8031019a5e09,osm:node:11871599148,2,,open,480,1260,0,obs:7312253feb0f2fce48cdb3e2
hours:b6739d6f5b90aa1777906112,osm:node:11871599148,3,,open,480,1260,0,obs:7312253feb0f2fce48cdb3e2
hours:9aa86cdf69273921bac8cf22,osm:node:11871599148,4,,open,480,1260,0,obs:7312253feb0f2fce48cdb3e2
hours:9187c6c28ebbb74ad35e69c6,osm:node:11871599148,5,,open,480,1260,0,obs:7312253feb0f2fce48cdb3e2
hours:dbfae91ff9535d4c60f6a210,osm:node:11871599148,6,,open,480,1260,0,obs:7312253feb0f2fce48cdb3e2
hours:bb35bc186d97cd14ea7c117e,osm:node:11896339273,1,,open,480,1020,0,obs:a7b0a72d2c6b10018583518a
hours:2e0010fda98a0a227a9c4793,osm:node:11896339273,2,,open,480,1020,0,obs:a7b0a72d2c6b10018583518a
hours:728522d99020cc975a2d5b8c,osm:node:11896339273,3,,open,480,1020,0,obs:a7b0a72d2c6b10018583518a
hours:1c375930b3675fb47a09e3c5,osm:node:11896339273,4,,open,480,1020,0,obs:a7b0a72d2c6b10018583518a
hours:d95a8edaf2027cc5f58930fc,osm:node:11896339273,5,,open,480,1020,0,obs:a7b0a72d2c6b10018583518a
hours:4efc6e4b1076bc754076cdd9,osm:node:11896339273,6,,open,480,1020,0,obs:a7b0a72d2c6b10018583518a
hours:dc26d14e66a61ec4a225aab4,osm:node:11929829169,0,,open,450,1020,0,obs:ebad43238a3732992dd08808
hours:23633dabf489445b450f2858,osm:node:11929829169,1,,open,450,1020,0,obs:ebad43238a3732992dd08808
hours:ed5e7a9930da9e865eb3b7d8,osm:node:11929829169,2,,open,450,1020,0,obs:ebad43238a3732992dd08808
hours:cad52fb1893731fbde102633,osm:node:11929829169,3,,open,450,1020,0,obs:ebad43238a3732992dd08808
hours:7422197d64ab3ba0386596ad,osm:node:11929829169,4,,open,450,1020,0,obs:ebad43238a3732992dd08808
hours:847cbbc7529237d398dfdf53,osm:node:11929829169,5,,open,450,1020,0,obs:ebad43238a3732992dd08808
