poi_id,short_minutes,typical_minutes,long_minutes,method,observation_id,verified_at
osm:node:11244176474,20,45,90,category_default,,
osm:node:11244192784,20,45,90,category_default,,
osm:node:11244194667,20,45,90,category_default,,
osm:node:11244195675,20,45,90,category_default,,
osm:node:11244204923,20,45,90,category_default,,
osm:node:11244217845,20,45,90,category_default,,
osm:node:11244223563,20,45,90,category_default,,
osm:node:11244238672,20,45,90,category_default,,
osm:node:11244242286,20,45,90,category_default,,
osm:node:11244255861,20,45,90,category_default,,
osm:node:11245967231,20,45,90,category_default,,
osm:node:11248390446,20,45,90,category_default,,
osm:node:11250446698,20,45,90,category_default,,
osm:node:11259291337,30,60,120,category_default,,
osm:node:11263075942,30,60,120,category_default,,
osm:node:11274966991,20,45,75,category_default,,
osm:node:11277700998,20,45,90,category_default,,
osm:node:11277713393,20,45,90,category_default,,
osm:node:11277717735,20,45,90,category_default,,
osm:node:11277721776,20,45,90,category_default,,
osm:node:11277729326,20,45,90,category_default,,
osm:node:11277737015,20,45,90,category_default,,
osm:node:11277754062,20,45,90,category_default,,
osm:node:11338749963,20,45,75,category_default,,
osm:node:11341398688,30,60,120,category_default,,
osm:node:11341424942,30,60,120,category_default,,
osm:node:11343699081,30,60,120,category_default,,
osm:node:11347697643,30,60,120,category_default,,
osm:node:11348058704,30,60,120,category_default,,
osm:node:11357973669,20,45,90,category_default,,
osm:node:11358233673,20,45,90,category_default,,
osm:node:11358473366,20,45,90,category_default,,
osm:node:11358486153,20,45,90,category_default,,
osm:node:11358487812,20,45,90,category_default,,
osm:node:11358488344,20,45,90,category_default,,
osm:node:11358490586,20,45,90,category_default,,
osm:node:11358499279,20,45,90,category_default,,
osm:node:11359603957,30,60,120,category_default,,
osm:node:11359764269,20,45,90,category_default,,
osm:node:11363370469,20,45,90,category_default,,
osm:node:11364453555,20,45,90,category_default,,
osm:node:11365555079,30,60,120,category_default,,
osm:node:11365637664,20,45,90,category_default,,
osm:node:11374783349,30,60,120,category_default,,
osm:node:11374805869,30,60,120,category_default,,
osm:node:11377884269,15,30,45,category_default,,
osm:node:11377886669,30,60,120,category_default,,
osm:node:11380795344,20,45,90,category_default,,
osm:node:11380837152,20,45,90,category_default,,
osm:node:11380838968,20,45,90,category_default,,
osm:node:11381050648,30,60,120,category_default,,
osm:node:11381478773,20,45,90,category_default,,
osm:node:11381478774,20,45,90,category_default,,
osm:node:11381478775,20,45,90,category_default,,
