access_id,poi_id,latitude,longitude,kind,access_minutes,verified,method,observation_id
access:51abc34518bfcc1e8a566b59,osm:node:12165835662,16.0556685,108.2447376,poi_coordinate,10,0,osm_point,obs:ac30d59e5793aab6e7b99176
access:dd0b54633a4999be2ffca366,osm:node:12165838991,16.0554575,108.2430682,poi_coordinate,10,0,osm_point,obs:536fc7e4656954323fba11fc
access:73c53752fd979cbc8bd6a3fb,osm:node:12167363605,16.0557727,108.2450936,poi_coordinate,10,0,osm_point,obs:0f34cbd567c641109af37e00
access:c30905931fb79e95a88c3d8e,osm:node:12167404635,16.0548143,108.2408025,poi_coordinate,10,0,osm_point,obs:7eb9face75e22d0ae46c8890
access:1c21933e6bf95cdcfc60c643,osm:node:12167609715,16.0608494,108.2226011,poi_coordinate,10,0,osm_point,obs:2f1d8b47491e13137e355ef7
access:3355c68a1f02cec792d9443e,osm:node:12167609716,16.0607876,108.222288,poi_coordinate,10,0,osm_point,obs:9917635964f138166d5193db
access:ed1b928ccce041819a55466a,osm:node:12167609718,16.0608151,108.2205865,poi_coordinate,10,0,osm_point,obs:27286b9aff82d73d8813ab8a
access:6536f8b6ef854cb800950318,osm:node:12167609731,16.0601516,108.2135042,poi_coordinate,10,0,osm_point,obs:a7326219a010bcff0a0ba92a
access:7288ed18235e229f0188bdf9,osm:node:12167609733,16.0601516,108.2136281,poi_coordinate,10,0,osm_point,obs:469e09ba8a03db2834f6de77
access:3c5e84d9eefdbc1694ac8329,osm:node:12167716633,16.0609921,108.2187601,poi_coordinate,10,0,osm_point,obs:18191776865d2ce7001da5a1
access:edda678e91dc0826e1fe5faa,osm:node:12167716635,16.0611629,108.2216068,poi_coordinate,10,0,osm_point,obs:b19d2d44c8b4fc6ed3ad72a9
access:e33929ac50548ccf0fac7b06,osm:node:12167716636,16.0607803,108.2221852,poi_coordinate,10,0,osm_point,obs:b7c5e8e3f80bdacf2a6431f0
access:7c17076b9a940edec0f8d5d3,osm:node:12167891426,16.056021,108.245053,poi_coordinate,10,0,osm_point,obs:a448b422c197f4d7792da059
access:6eb8a5de08e6d4cb0fd4e5b7,osm:node:12167898650,16.0554313,108.2429757,poi_coordinate,10,0,osm_point,obs:b5a703553ef74c3ab253e172
access:3c68fb94e0253ecdefe7d9ed,osm:node:12167898651,16.0553597,108.2427238,poi_coordinate,10,0,osm_point,obs:46de3a16f551c3e1b63f7fdb
access:6cfa357a84dfa5d81d1e1099,osm:node:12167898652,16.0552917,108.2424842,poi_coordinate,10,0,osm_point,obs:1d0d997f91608b53873dc1d8
access:3ea66ee63c16a5b5f62c2120,osm:node:12168408873,16.050068,108.2477691,poi_coordinate,10,0,osm_point,obs:3819ab73452a8251e6135f3d
access:83e5c547e72b5d949faa197b,osm:node:12168408876,16.0556342,108.2436904,poi_coordinate,10,0,osm_point,obs:c70a97e3bf98a1908c72960a
access:d471274282e9eaa261459da7,osm:node:12168408882,16.0493745,108.2461402,poi_coordinate,10,0,osm_point,obs:f30616ef45c67860112068f9
access:04290a7628d69423eab682a2,osm:node:12168408889,16.0522763,108.2450489,poi_coordinate,10,0,osm_point,obs:270e2eee3892f2b5a7fd09d5
access:cd5669d0421ffe0d62c4d074,osm:node:12168408890,16.0492163,108.2466627,poi_coordinate,10,0,osm_point,obs:add7f756682b700fdd8e6602
access:d33d3b098062230203076e33,osm:node:12168408891,16.0489642,108.2467417,poi_coordinate,10,0,osm_point,obs:02844ada5187212de999b5cc
access:c6bb72a84f6ebb551e85ee14,osm:node:12168408896,16.0489224,108.2467499,poi_coordinate,10,0,osm_point,obs:b200afd8140f5d9e8adecd3e
access:6f439230a85eb7f4e5115f38,osm:node:12169109801,16.0500297,108.2407236,poi_coordinate,10,0,osm_point,obs:7b17f8e188977c57cbd2e1e5
access:393945c7394a64697d6050cd,osm:node:12169174293,16.0556822,108.2438597,poi_coordinate,10,0,osm_point,obs:f60a58aed0e80bddd3647512
access:08d34e2482661ee3cf6b763b,osm:node:12169278140,16.0554598,108.2440161,poi_coordinate,10,0,osm_point,obs:19ddefa06476b33ec9c63e5a
access:9c97be88dc932f529ab13929,osm:node:12169278141,16.0553408,108.242657,poi_coordinate,10,0,osm_point,obs:a79f035d905110ea72574183
access:ccc2c0233051324fe825be3d,osm:node:12169339370,16.0535784,108.2405373,poi_coordinate,10,0,osm_point,obs:e88af78b42f20bfeb51464b1
access:268a6c5581e92b96f379d94f,osm:node:12169339371,16.0537431,108.2405121,poi_coordinate,10,0,osm_point,obs:1f2a07b7ff98f340a7d1665d
access:acb7dab42c949868be579427,osm:node:12169743812,16.0520105,108.2450929,poi_coordinate,10,0,osm_point,obs:e2c17cac6907cf3d66ea936e
access:5e3d6bcf051468e2fa1c4c7a,osm:node:12169743825,16.04955,108.2465553,poi_coordinate,10,0,osm_point,obs:0a495b932d251d32a8d664a3
access:9fc747bd6cb15633c967dfb1,osm:node:12169743829,16.0511553,108.2451145,poi_coordinate,10,0,osm_point,obs:2478daaee4e17596ac035f5d
access:091d0cabc86836b94dac2b73,osm:node:12169743830,16.052863,108.2446023,poi_coordinate,10,0,osm_point,obs:598b5c7d590d9a49f64d5d3d
access:4b2902eb4901c64f51008252,osm:node:12169743837,16.0535697,108.2445857,poi_coordinate,10,0,osm_point,obs:ea7014ec1decf77da6d00699
access:7be074ec5cb682876acce1a7,osm:node:12169743843,16.0517882,108.2451501,poi_coordinate,10,0,osm_point,obs:65b35c78bd40031e55f5ac75
access:82b1f210d073acf6fd3c59dc,osm:node:12169835016,16.0578601,108.2448938,poi_coordinate,10,0,osm_point,obs:f5ba4e8c9fbb56673837d824
