poi_id,name,location,category,reasons,evidence_count,source_url,dataset_version
osm:way:198804459,G1,Đà Nẵng,historic,weak_or_generic_name|insufficient_service_evidence,0,https://www.openstreetmap.org/way/198804459,v2-c829c8f3e2414108
osm:way:198804461,G3,Đà Nẵng,historic,weak_or_generic_name|insufficient_service_evidence,0,https://www.openstreetmap.org/way/198804461,v2-c829c8f3e2414108
osm:way:198804463,G4,Đà Nẵng,historic,weak_or_generic_name|insufficient_service_evidence,0,https://www.openstreetmap.org/way/198804463,v2-c829c8f3e2414108
osm:way:198804465,G5,Đà Nẵng,historic,weak_or_generic_name|insufficient_service_evidence,0,https://www.openstreetmap.org/way/198804465,v2-c829c8f3e2414108
osm:way:200108825,Đình Giảng Võ,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/200108825,v2-c829c8f3e2414108
osm:way:200130250,Đình Ngọc Khánh,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/200130250,v2-c829c8f3e2414108
osm:way:207178319,Vườn bách thảo Hà Nội,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/207178319,v2-c829c8f3e2414108
osm:way:207178320,Đền Quán Thánh,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/207178320,v2-c829c8f3e2414108
osm:way:207178342,Nhà sàn Bác Hồ,Hà Nội,attraction,insufficient_service_evidence,0,https://www.openstreetmap.org/way/207178342,v2-c829c8f3e2414108
osm:way:208188482,Công viên Hòa Bình,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/208188482,v2-c829c8f3e2414108
osm:way:208188525,Vườn Hoa Hữu Nghị,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/208188525,v2-c829c8f3e2414108
osm:way:208197731,Công viên Nghĩa Đô,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/208197731,v2-c829c8f3e2414108
osm:way:208572138,Vườn hoa Ngô Huy Quỳnh,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/208572138,v2-c829c8f3e2414108
osm:way:209492808,Nhà thờ Công giáo Hội An,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/209492808,v2-c829c8f3e2414108
osm:way:209494258,Văn Miếu Hội An,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/209494258,v2-c829c8f3e2414108
osm:way:209494260,Nhà thờ Tin lành Hội An,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/209494260,v2-c829c8f3e2414108
osm:way:210933183,Di tích Đình Thanh Tẩy,Đà Nẵng,historic,insufficient_service_evidence,0,https://www.openstreetmap.org/way/210933183,v2-c829c8f3e2414108
